No.,Nombre de municipio,Nombre de localidad,Clave del Centro de Trabajo (CCT),Nombre del plantel,Matrícula,Semáforo federal,Programa,Porcentaje de avance (%),Latitud,Longitud
2241,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DJN2293K,PREESCOLAR CAPEP RIVERA ANAYA,113,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.045278,-98.1975
2242,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DST0152Z,ESCUELA SECUNDARIA TECNICA NUM. 141,173,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.045278,-98.1975
2243,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DJN0777A,J. DE N. J. MARIA DE MAEZTU,147,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.124994,-98.220867
2244,TLATLAUQUITEPEC,EL CARMEN ILITA,21DCC0179P,JUAN ESCUTIA,45,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.8375,-97.478333
2245,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DPR3663J,MIGUEL HIDALGO Y COSTILLA,430,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.090722,-98.270127
2246,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DJN2294J,JARDIN DE NINOS CAPEP GUADALUPE HIDALGO,141,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.045278,-98.1975
2247,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21EPR0642B,C.E. PRESIDENTE GUSTAVO DIAZ ORDAZ,1163,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.98133,-98.237743
2248,ATEMPAN,ATEMPAN,21DJN1576K,LEONA VICARIO,66,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.841111,-97.458056
2249,HUEHUETLÁN EL CHICO,HUEHUETLÁN EL CHICO,21DTV0002G,BENITO JUAREZ,152,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.372293,-98.689471
2250,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21EJN0020F,JARDIN DE NINOS HORAS FELICES,208,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.078813,-98.250857
