N°,Municipio,Etapa,Edad,Género
371,NOPALUCAN,4,20,Femenino
372,NOPALUCAN,4,40,Femenino
373,NOPALUCAN,4,45,Femenino
374,NOPALUCAN,4,82,Femenino
375,NOPALUCAN,4,29,Femenino
376,NOPALUCAN,4,29,Femenino
377,RAFAEL LARA GRAJALES,7,53,Femenino
378,RAFAEL LARA GRAJALES,7,62,Femenino
379,RAFAEL LARA GRAJALES,7,60,Femenino
380,RAFAEL LARA GRAJALES,7,54,Femenino
381,RAFAEL LARA GRAJALES,7,29,Femenino
382,RAFAEL LARA GRAJALES,7,32,Femenino
383,RAFAEL LARA GRAJALES,7,43,Femenino
384,RAFAEL LARA GRAJALES,7,27,Femenino
385,RAFAEL LARA GRAJALES,7,58,Femenino
386,RAFAEL LARA GRAJALES,7,65,Femenino
387,AJALPAN,1,19,Femenino
388,AJALPAN,1,35,Femenino
389,ALTEPEXI,1,56,Femenino
390,ALTEPEXI,1,28,Femenino
391,AJALPAN,1,23,Femenino
392,AJALPAN,1,25,Femenino
393,AJALPAN,1,42,Femenino
394,AJALPAN,1,20,Femenino
395,COXCATLAN,1,31,Femenino
396,COXCATLAN,1,29,Femenino
397,COXCATLAN,1,51,Femenino
398,COXCATLAN,1,38,Femenino
399,COXCATLAN,1,40,Femenino
400,COXCATLAN,1,71,Femenino
401,COXCATLAN,1,54,Femenino
402,COXCATLAN,1,42,Femenino
403,ZOQUITLAN,1,19,Femenino
404,ZOQUITLAN,1,33,Femenino
405,ZOQUITLAN,1,34,Femenino
406,ZOQUITLAN,1,52,Femenino
407,ELOXOCHITLAN,1,68,Femenino
408,ELOXOCHITLAN,1,34,Femenino
409,ZOQUITLAN,1,27,Femenino
410,ELOXOCHITLAN,1,41,Femenino
411,AJALPAN,1,28,Femenino
412,AJALPAN,1,32,Femenino
413,AJALPAN,1,38,Femenino
414,AJALPAN,1,47,Femenino
415,AJALPAN,1,35,Femenino
416,COXCATLAN,1,28,Femenino
417,COXCATLAN,1,41,Femenino
418,COXCATLAN,1,25,Femenino
419,COXCATLAN,1,49,Femenino
420,COXCATLAN,1,21,Femenino
421,COXCATLAN,1,48,Femenino
422,COXCATLAN,1,37,Femenino
423,COXCATLAN,1,36,Femenino
424,COXCATLAN,1,44,Femenino
425,TEHUACAN,1,36,Femenino
426,TEHUACAN,1,40,Femenino
427,TEHUACAN,1,27,Femenino
428,TEHUACAN,1,53,Femenino
429,TEHUACAN,1,50,Femenino
430,TEHUACAN,1,57,Femenino
431,TEHUACAN,1,22,Femenino
432,COXCATLAN,1,62,Femenino
433,COXCATLAN,1,46,Femenino
434,COXCATLAN,1,40,Femenino
435,COXCATLAN,1,26,Femenino
436,COXCATLAN,1,33,Femenino
437,COXCATLAN,1,37,Femenino
438,COXCATLAN,1,32,Femenino
439,COXCATLAN,1,31,Femenino
440,COXCATLAN,1,23,Femenino
441,COXCATLAN,1,36,Femenino
442,SAN JOSE MIAHUATLAN,1,46,Femenino
443,SAN JOSE MIAHUATLAN,1,27,Femenino
444,SAN JOSE MIAHUATLAN,1,30,Femenino
445,SAN JOSE MIAHUATLAN,1,55,Femenino
446,SAN JOSE MIAHUATLAN,1,53,Femenino
447,TEHUACAN,1,22,Femenino
448,TEHUACAN,1,44,Femenino
449,TEHUACAN,1,49,Femenino
450,TEHUACAN,1,57,Femenino
451,TEHUACAN,1,22,Femenino
452,COXCATLAN,1,55,Femenino
453,COXCATLAN,1,48,Femenino
454,COXCATLAN,1,42,Femenino
455,COXCATLAN,1,25,Femenino
456,COXCATLAN,1,37,Femenino
457,ZOQUITLAN,1,20,Femenino
458,ZOQUITLAN,1,28,Femenino
